Date,Title,Author1,Genre1,Length,Rating,CountTotal,Count90,Count00,Count10,Count20,Genre,Author,Books
1990,The Plains of Passage,Jean M. Auel,Historical Fiction,784,3.85,25,6,5,7,7,Historical Fiction,John Grisham,32
1990,Four Past Midnight,Stephen King,Horror,930,3.95,28,15,9,4,0,Horror,Stephen King,23
1990,The Burden of Proof,Scott Turow,Mystery,640,4.06,74,11,41,22,0,Mystery,Danielle Steel,22
1990,Memories of Midnight,Sidney Sheldon,Thriller,404,3.74,39,22,11,6,0,Thriller,James Patterson,19
1990,Message from Nam,Danielle Steel,Romance,417,4.11,64,28,13,13,10,Romance,Nicolas Sparks,12
1990,The Bourne Ultimatum,Robert Ludlum,Thriller,725,4.07,8,2,0,4,2,Fantasy,Patricia Cornwell,11
1990,The Stand,Stephen King,Horror,435,4.35,8,4,0,4,0,Classics,Jeff Kinney,11
1990,Lady Boss,Jackie Collins,Romance,640,4.16,5,3,0,1,1,Self Help,Tom Clancy,10
1990,The Witching Hour,Anne Rice,Horror,1207,4.1,8,3,2,2,1,Sci-Fi,Janet Evanovich,10
1990,September,Rosamunde Pilcher,Romance,613,4.16,12,4,8,0,0,Religious,Colleen Hoover,10
1991,Scarlett,Alexandra Ripley,Historical Fiction,884,3.63,34,2,2,18,12,Humor,,
1991,The Sum of All Fears,Tom Clancy,Thriller,914,4.06,2,0,2,0,0,Sport,,
1991,Needful Things,Stephen King,Horror,790,3.97,21,0,2,15,4,Young Adult,,
1991,No Greater Love,Danielle Steel,Romance,416,4.03,3,0,0,1,2,Poetry,,
1991,Heartbeat,Danielle Steel,Romance,432,3.86,9,0,5,3,1,Fiction,,
1991,The Doomsday Conspiracy,Sidney Sheldon,Thriller,448,3.66,,,,,,,,
1991,The Firm,John Grisham,Thriller,76,4.08,,,,,,,,
1991,Night Over Water,Ken Follett,Historical Fiction,448,3.9,,,,,,,,
1991,Remember,Barbara Taylor Bradford,Romance,480,3.81,,,,,,,,
1991,"Loves Music, Loves to Dance",Mary Higgins Clark,Mystery,318,3.94,,,,,,,,
1992,Dolores Claiborne,Stephen King,Horror,384,3.92,,,,,,,,
1992,The Pelican Brief,John Grisham,Thriller,400,4.05,,,,,,,,
1992,Gerald's Game,Stephen King,Horror,332,3.57,,,,,,,,
1992,Mixed Blessings,Danielle Steel,Romance,448,3.84,,,,,,,,
1992,Jewels,Danielle Steel,Romance,496,4,,,,,,,,
1992,The Stars Shine Down,Sidney Sheldon,Thriller,448,3.72,,,,,,,,
1992,The Tale of the Body Thief,Anne Rice,Fantasy,338,3.75,,,,,,,,
1992,Mexico,James A. Michener,Historical Fiction,672,3.74,,,,,,,,
1992,Waiting to Exhale,Terry McMillan,Romance,375,3.63,,,,,,,,
1992,All Around the Town,Mary Higgins Clark,Mystery,352,3.98,,,,,,,,
1993,The Bridges of Madison County,Robert James Waller,Classics,224,3.69,,,,,,,,
1993,The Client,John Grisham,Thriller,483,4.05,,,,,,,,
1993,Slow Waltz in Cedar Bend,Robert James Waller,Romance,197,3.23,,,,,,,,
1993,Without Remorse,Tom Clancy,Thriller,750,4.21,,,,,,,,
1993,Nightmares & Dreamscapes,Stephen King,Horror,836,3.95,,,,,,,,
1993,Vanished,Danielle Steel,Romance,416,3.89,,,,,,,,
1993,Lasher,Anne Rice,Fantasy,400,3.87,,,,,,,,
1993,Pleading Guilty,Scott Turow,Mystery,386,3.67,,,,,,,,
1993,Like Water for Chocolate,Laura Esquivel,Romance,222,3.95,,,,,,,,
1993,The Scorpio Illusion,Robert Ludlum,Thriller,624,3.85,,,,,,,,
1994,The Chamber,John Grisham,Thriller,632,3.84,,,,,,,,
1994,Debt of Honor,Tom Clancy,Thriller,990,4.09,,,,,,,,
1994,The Celestine Prophecy,James Redfield,Self Help,247,3.71,,,,,,,,
1994,The Gift,Danielle Steel,Romance,275,3.97,,,,,,,,
1994,Insomnia,Stephen King,Horror,896,3.83,,,,,,,,
1994,Politically Correct Bedtime Stories,James Finn Garner,Humor,79,3.63,,,,,,,,
