Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
219244004,The Kill,Émile Zola,"Zola, Émile",,,,0,3.87,Emile Zola Society,Paperback,,,1871,,11/20/25,to-read,to-read (#158),to-read,,,,0,0
221597,Salammbo,Gustave Flaubert,"Flaubert, Gustave","Mahlon Blaine, A.J. Krailsheimer, Ray Redman",0140443282,9780140443288,3,3.73,Penguin Classics,Paperback,288,1977,1862,,11/10/23,,,read,,,,1,0
18144590,The Alchemist,Paulo Coelho,"Coelho, Paulo",,0062315005,9780062315007,3,3.92,HarperOne,Paperback,182,2014,1988,,2/3/23,,,read,,,,1,0
19772116,Suspiria De Profundis and Other Writings,Thomas de Quincey,"Quincey, Thomas de",,1420940554,9781420940558,3,3.61,Digireads.Com,Paperback,103,2011,2007,,11/10/23,,,read,,,,1,0
1852,The Call of the Wild,Jack London,"London, Jack",Avi,,,3,3.91,Scholastic,Mass Market Paperback,172,2001,1903,,11/10/23,,,read,,,,0,0
2493,The Time Machine,H.G. Wells,"Wells, H.G.","Greg Bear, Carlo Pagetti",,,3,3.89,Signet Classics,Paperback,118,2002,1895,,11/10/23,,,read,,,,0,0
12615,Media Control: The Spectacular Achievements of Propaganda,Noam Chomsky,"Chomsky, Noam",,1583225366,9781583225363,3,4.02,Seven Stories Press,Paperback,103,2002,1995,,11/10/23,,,read,,,,1,0
153747,"Moby-Dick or, The Whale",Herman Melville,"Melville, Herman","Andrew Delbanco, Tom Quirk",0142437247,9780142437247,3,3.56,Penguin Classics ,Paperback,720,2003,1851,,11/10/23,,,read,,,,0,0
853510,"Murder on the Orient Express (Hercule Poirot, #10)",Agatha Christie,"Christie, Agatha",,0007119313,9780007119318,3,4.2,HarperCollins,Paperback,274,2007,1934,,11/10/23,,,read,,,,0,0
12331767,High-Rise,J.G. Ballard,"Ballard, J.G.",,0871404028,9780871404022,3,3.6,Liveright,Paperback,208,2012,1975,,11/10/23,,,read,,,,1,0
40940121,Bridge to Terabithia,Katherine Paterson,"Paterson, Katherine",,,,3,4.06,HarperCollins,Kindle Edition,190,2009,1977,,11/10/23,,,read,,,,0,0
170448,Animal Farm,George Orwell,"Orwell, George","Russell Baker, C.M. Woodhouse",0451526341,9780451526342,3,4.01,Signet Classics,Mass Market Paperback,141,1996,1945,,2/3/23,,,read,,,,1,0
